Name,Level,MHP,MMP,ATK,DEF,MAT,MDF,HIT,EVD,SPD
JobThief,1,50,20,20,10,0,0,20,15,40
JobThief,2,52,21,21,11,0,0,21,16,41
JobThief,3,54,22,22,12,0,0,22,17,42
JobThief,4,56,23,23,13,0,0,23,18,43
JobThief,5,58,24,24,14,0,0,24,19,44
JobThief,6,60,25,25,15,0,0,25,20,45
JobThief,7,62,26,26,16,0,0,26,21,46
JobThief,8,64,27,27,17,0,0,27,22,47
JobThief,9,66,28,28,18,0,0,28,23,48
JobThief,10,68,29,29,19,0,0,29,24,49
JobThief,11,70,30,30,20,0,0,30,25,50
JobThief,12,72,31,31,21,0,0,31,26,51
JobThief,13,74,32,32,22,0,0,32,27,52
JobThief,14,76,33,33,23,0,0,33,28,53
JobThief,15,78,34,34,24,0,0,34,29,54
JobThief,16,80,35,35,25,0,0,35,30,55
JobThief,17,82,36,36,26,0,0,36,31,56
JobThief,18,84,37,37,27,0,0,37,32,57
JobThief,19,86,38,38,28,0,0,38,33,58
JobThief,20,88,39,39,29,0,0,39,34,59
JobThief,21,90,40,40,30,0,0,40,35,60
JobThief,22,92,41,41,31,0,0,41,36,61
JobThief,23,94,42,42,32,0,0,42,37,62
JobThief,24,96,43,43,33,0,0,43,38,63
JobThief,25,98,44,44,34,0,0,44,39,64
JobThief,26,100,45,45,35,0,0,45,40,65
JobThief,27,102,46,46,36,0,0,46,41,66
JobThief,28,104,47,47,37,0,0,47,42,67
JobThief,29,106,48,48,38,0,0,48,43,68
JobThief,30,108,49,49,39,0,0,49,44,69
JobThief,31,110,50,50,40,0,0,50,45,70
JobThief,32,112,51,51,41,0,0,51,46,71
JobThief,33,114,52,52,42,0,0,52,47,72
JobThief,34,116,53,53,43,0,0,53,48,73
JobThief,35,118,54,54,44,0,0,54,49,74
JobThief,36,120,55,55,45,0,0,55,50,75
JobThief,37,122,56,56,46,0,0,56,51,76
JobThief,38,124,57,57,47,0,0,57,52,77
JobThief,39,126,58,58,48,0,0,58,53,78
JobThief,40,128,59,59,49,0,0,59,54,79
JobThief,41,130,60,60,50,0,0,60,55,80
JobThief,42,132,61,61,51,0,0,61,56,81
JobThief,43,134,62,62,52,0,0,62,57,82
JobThief,44,136,63,63,53,0,0,63,58,83
JobThief,45,138,64,64,54,0,0,64,59,84
JobThief,46,140,65,65,55,0,0,65,60,85
JobThief,47,142,66,66,56,0,0,66,61,86
JobThief,48,144,67,67,57,0,0,67,62,87
JobThief,49,146,68,68,58,0,0,68,63,88
JobThief,50,148,69,69,59,0,0,69,64,89
JobThief,51,150,70,70,60,0,0,70,65,90
JobThief,52,152,71,71,61,0,0,71,66,91
JobThief,53,154,72,72,62,0,0,72,67,92
JobThief,54,156,73,73,63,0,0,73,68,93
JobThief,55,158,74,74,64,0,0,74,69,94
JobThief,56,160,75,75,65,0,0,75,70,95
JobThief,57,162,76,76,66,0,0,76,71,96
JobThief,58,164,77,77,67,0,0,77,72,97
JobThief,59,166,78,78,68,0,0,78,73,98
JobThief,60,168,79,79,69,0,0,79,74,99
